cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
424,106.128,-0,0,0,2,0,0,0,0,0,0,0
425,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
426,106.128,-0,0,0,2,0,0,0,0,0,0,0
427,106.13,-0,0,0,0,0,0,0,0,0,0,0
428,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
429,106.128,-0,0,0,0,0,0,0,0,0,0,0
430,106.126,-0,0,0,0,0,0,0,0,0,0,0
431,106.128,-0,0,0,0,0,0,0,0,0,0,0
432,106.13,-0,0,0,0,0,0,0,0,0,0,0
433,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
434,106.128,-0,0,0,-1,0,0,0,0,0,0,0
435,106.128,-0,0,0,0,0,0,0,0,0,0,0
436,106.13,-0,0,0,-1,0,0,0,0,0,0,0
437,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
438,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
439,106.128,-0,0,0,-1,0,0,0,0,0,0,0
440,106.13,-0,-2.1572,0,0,0,0,0,0,0,0,0
441,106.126,-0,-4.3143,0,2,0,0,0,0,0,0,0
